starting_date,duration,snow,floods,storm,hurricane,rain,cold,hot,comment
2010-07-14,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°219
2010-07-07,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Bulletin Spécial N°218
2010-07-02,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°217
2010-06-14,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°216
2010-06-07,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°215
2010-06-05,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°214
2010-03-30,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bulletin Spécial N°211
2010-03-07,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°210
2010-02-23,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Tempête Xynthia
2010-02-10,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Bulletin Spécial N°208
2010-01-03,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Bulletin Spécial N°207
2009-12-12,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Bulletin Spécial N°206
2009-11-28,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°205
2009-11-22,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°204
2009-11-13,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°203
2009-11-07,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°201
2009-10-19,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°200
2009-09-15,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°199
2009-08-31,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°198
2009-08-24,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°197
2009-07-31,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°196
2009-07-26,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°195
2009-07-21,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°194
2009-07-01,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°193
2009-05-23,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°192
2009-05-07,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°191
2009-04-25,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°190
